,Number,pH,Conductivity,Temperature,Turbidity,FCR,CFU,Ammonia,Fluoride,Hardness,Iron,Nitrate,Nitrite ,Phosphte ,Sulphate,Latitude,Longitude,Altitude
count,195.0,195.0,195.0,193.0,191.0,195.0,193.0,38.0,38.0,38.0,38.0,35.0,38.0,38.0,38.0,195.0,195.0,194.0
mean,98.0,6.656,181.395,19.008,21.182,0.015,55.699,0.037,0.049,56.184,0.027,3.287,0.02,0.518,5.368,11.831,38.025,2491.435
std,56.436,0.568,82.111,2.47,23.649,0.215,42.197,0.055,0.084,26.874,0.043,1.538,0.048,0.679,12.506,0.068,0.073,260.653
min,1.0,5.57,55.0,11.2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.08,0.0,11.712,37.875,1961.8
25%,49.5,6.21,115.5,17.1,4.19,0.0,9.0,0.01,0.0,36.25,0.01,2.8,0.004,0.198,1.0,11.782,37.971,2292.8
50%,98.0,6.59,175.0,19.3,12.4,0.0,59.0,0.02,0.0,52.5,0.01,3.26,0.006,0.375,2.0,11.83,38.023,2510.75
75%,146.5,7.07,222.5,20.5,29.95,0.0,101.0,0.048,0.088,78.75,0.03,4.2,0.009,0.562,3.0,11.872,38.097,2658.75
max,195.0,8.32,490.0,27.0,108.6,3.0,101.0,0.27,0.37,115.0,0.24,7.52,0.21,4.0,59.0,11.99,38.17,3430.7
